Day of Start Time,Location Name,Shift Name,Calculated OEE,Avg. Availability,Avg. Performance,Avg. Quality,Down Seconds,Out Count,Target,Theoretical Quantity
28-Feb-20,Packing Line 01,2nd,42.40%,0.942492218,0.454194794,0.991313553,1576,8444.998047,0.600000076,19900.711
29-Feb-20,Packing Line 01,2nd,49.90%,0.950843964,0.526726303,0.996963425,1293,9192.998047,0.600000038,18411.266
2-Mar-20,Packing Line 01,2nd,67.20%,0.996958809,0.677452431,0.998640327,44,11438.98828,1.200000076,17013.461
3-Mar-20,Packing Line 01,2nd,72.20%,0.988263474,0.734701614,0.994391479,323,14184.01074,0.599999962,19645.266
4-Mar-20,Packing Line 01,2nd,37.80%,0.921808014,0.410922089,0.998226929,1915,6755.995117,0.599999924,17867.348
5-Mar-20,Packing Line 01,2nd,59.40%,0.804018097,0.741763153,0.995615234,4819,10217.99121,0.599999962,17208.498
6-Mar-20,Packing Line 01,2nd,64.60%,0.954029961,0.677947865,0.996270866,981,7722.001953,1.200000114,11956.711
7-Mar-20,Packing Line 01,2nd,34.80%,0.782830505,0.460795771,0.99935791,5045,4309.999252,1.800000114,12369.811
8-Mar-20,Packing Line 01,2nd,62.50%,1,0.634767342,0.985081711,0,10367.02148,0.600000038,16579.336
9-Mar-20,Packing Line 01,2nd,78.50%,1,0.78572258,0.999649048,0,14241.03125,0.599999962,18131.121
10-Mar-20,Packing Line 01,2nd,47.30%,0.400588489,0.908392677,0.994566498,8571,7782.003418,1.200000114,16441.439
11-Mar-20,Packing Line 01,2nd,60.40%,0.872019424,0.703840942,0.984576263,3478,12001.00879,0.600000038,19859.473
12-Mar-20,Packing Line 01,2nd,58.10%,0.844274139,0.688849335,0.999313431,3900,10187.99902,0.600000038,17529.9
13-Mar-20,Packing Line 01,2nd,66.60%,0.881181374,0.733290291,0.991849899,2100,10810.00317,1.200000114,16242.52
14-Mar-20,Packing Line 01,2nd,59.60%,0.945224838,0.631100578,0.998399658,1201,9358.005859,0.600000038,15712.497
15-Mar-20,Packing Line 01,2nd,44.80%,0.67812439,0.662082214,0.998897858,8100,8156.998047,0.600000038,18188.129
16-Mar-20,Packing Line 01,2nd,53.30%,0.826341782,0.733998756,0.999009552,5701,9016.000488,1.200000153,16929.24
17-Mar-20,Packing Line 01,2nd,57.50%,0.855434799,0.678309631,0.990883331,6118,17172.94531,0.600000076,29868.086
18-Mar-20,Packing Line 01,2nd,44.90%,0.797495728,0.564057541,0.997626038,8151,13027.01172,0.600000076,29028.545
20-Mar-20,Packing Line 01,2nd,92.70%,1,0.927449341,1,0,261.0000305,0.600000038,281.41702
22-Mar-20,Packing Line 01,2nd,1.10%,0.5,0.634249458,0.972222214,3537,27,1.200000076,2508.2593
23-Mar-20,Packing Line 01,2nd,41.20%,0.835421448,0.49584362,0.99426796,3376,6071.000488,0.600000076,14740.306
29-Mar-20,Packing Line 01,2nd,69.20%,0.962421443,0.712422905,0.991926778,1087,16191.99951,1.800000191,23397.043
30-Mar-20,Packing Line 01,2nd,60.00%,0.986555176,0.608493729,1,352,11292.00391,0.600000038,18810.205
1-Apr-20,Packing Line 01,2nd,66.50%,0.992396469,0.670294495,1,168,10532,0.600000038,15832.882
2-Apr-20,Packing Line 01,2nd,68.50%,0.999321899,0.688892097,1,11,9920.001465,1.200000076,14480.602
3-Apr-20,Packing Line 01,2nd,38.30%,0.620426636,0.617233505,1,2936,2152.000244,0.599999962,5619.5605
6-Apr-20,Packing Line 01,2nd,62.30%,0.878145065,0.709367371,1,2746,10166.00391,0.600000038,16319.724
7-Apr-20,Packing Line 01,2nd,57.90%,0.783434296,0.738906403,1,5075,9718.006836,0.600000076,16787.469
8-Apr-20,Packing Line 01,2nd,75.00%,0.787229309,0.749738083,1,1347,11733.97095,1.200000076,15635.179
9-Apr-20,Packing Line 01,2nd,50.00%,0.762199554,0.656208191,1,6798,10006.00586,0.600000038,20005.547
10-Apr-20,Packing Line 01,2nd,62.20%,0.573648148,0.523081385,1,5458,12290.00073,1.800000076,19774.051
2-Jan-20,Packing Line 01,1st,82.00%,1,0.825270538,0.994145584,0,15283.03125,0.600000076,18627.869
3-Jan-20,Packing Line 01,1st,71.70%,0.919181061,0.786377716,0.992545166,1800,11183.99805,0.600000038,15588.866
4-Jan-20,Packing Line 01,1st,65.00%,0.875733032,0.789064789,0.994349899,2701,9771.998047,1.200000114,15024.95
6-Jan-20,Packing Line 01,1st,83.10%,0.649189835,1.707167625,0.998142509,1198,13693.00391,1.200000191,16473.521
7-Jan-20,Packing Line 01,1st,51.50%,0.755095558,0.687641087,0.989897232,6300,8849,1.200000076,17170.367
8-Jan-20,Packing Line 01,1st,62.90%,0.992607295,0.727510974,0.999695587,313,10555.00421,1.800000114,16767.717
9-Jan-20,Packing Line 01,1st,78.80%,1,0.789459839,0.998014297,0,13570.01367,0.600000038,17223.186
10-Jan-20,Packing Line 01,1st,75.40%,0.987617035,0.767249527,0.995158463,299,12743.98828,0.600000038,16900.047
11-Jan-20,Packing Line 01,1st,77.50%,1,0.70235054,0.993710136,0,13885.99402,1.2,17920.861
13-Jan-20,Packing Line 01,1st,79.50%,1,0.859801407,0.998052406,0,10175.99438,1.200000076,12806.606
14-Jan-20,Packing Line 01,1st,73.10%,0.9973946,0.725241356,0.991808968,22,9477.998535,1.200000076,12970.131
15-Jan-20,Packing Line 01,1st,68.90%,1,0.703913193,0.979291229,0,10970.99609,0.600000038,15915.309
16-Jan-20,Packing Line 01,1st,51.10%,0.998863068,0.513166237,0.996757431,14,4611.000977,0.600000076,9024.8848
17-Jan-20,Packing Line 01,1st,72.20%,0.987483826,0.734063797,0.996628647,300,12120.01074,0.600000038,16776.674
18-Jan-20,Packing Line 01,1st,66.90%,0.89556694,0.751836853,0.994299011,2099,9418.005859,0.600000076,14067.609
20-Jan-20,Packing Line 01,1st,37.90%,0.880150681,0.432062569,0.997543488,2100,4873.002441,0.600000038,12845.799
21-Jan-20,Packing Line 01,1st,65.80%,0.994831161,0.663436432,0.997416534,116,10424.01367,0.600000038,15834.697
22-Jan-20,Packing Line 01,1st,67.80%,0.965045013,0.771963615,0.996198883,901,8040.004639,1.2,11852.434
23-Jan-20,Packing Line 01,1st,70.20%,1,0.702549057,0.998520889,0,8100.99707,0.600000038,11547.944
24-Jan-20,Packing Line 01,1st,82.80%,0.999945374,0.829903564,0.998024445,1,10609.00195,0.600000038,12809.418
27-Jan-20,Packing Line 01,1st,68.70%,0.947812309,0.54845376,0.996391411,975,10036.99768,1.200000038,14601.725
28-Jan-20,Packing Line 01,1st,74.10%,0.920327072,0.807505646,0.997052689,1598,10486.99707,0.599999962,14152.895
29-Jan-20,Packing Line 01,1st,71.40%,0.986882935,0.725683365,0.99639534,300,11885.98145,0.600000076,16656.762
30-Jan-20,Packing Line 01,1st,32.90%,0.777658997,0.429719467,0.983638153,3951,4088.006836,0.600000038,12436.609
31-Jan-20,Packing Line 01,1st,82.50%,1,0.829959412,0.993720016,0,13291.9834,0.600000076,16116.433
2-Feb-20,Packing Line 01,1st,55.80%,1,0.561208954,0.994212952,0,2576.999756,0.600000038,4618.6001
3-Feb-20,Packing Line 01,1st,75.00%,1,0.754006653,0.994144516,0,13073.00391,0.600000038,17440.17
4-Feb-20,Packing Line 01,1st,87.10%,1,0.875367126,0.995311279,0,15283.86035,0.600000038,17542.195
5-Feb-20,Packing Line 01,1st,57.50%,0.943687286,0.614516068,0.992286301,1285,9261.996094,0.600000038,16095.567
6-Feb-20,Packing Line 01,1st,45.20%,0.977990417,0.463220367,0.998670197,299,4506.000488,0.600000038,9959.7148
7-Feb-20,Packing Line 01,1st,29.20%,0.903397217,0.323852043,0.999017105,2400,5081.984375,0.600000038,17387.416
10-Feb-20,Packing Line 01,1st,45.40%,0.847386475,0.536811752,0.997839127,3600,7849.990234,0.600000038,17294.383
11-Feb-20,Packing Line 01,1st,49.30%,0.987425842,0.509522209,0.980047913,299,8595.994141,0.600000038,17433.363
12-Feb-20,Packing Line 01,1st,28.50%,0.950876083,0.305388889,0.980003891,1200,5097.007813,0.600000038,17910.609
13-Feb-20,Packing Line 01,1st,73.80%,0.946582947,0.785888062,0.991913071,1199,12143.00879,0.599999962,16456.342
14-Feb-20,Packing Line 01,1st,92.00%,1,0.925499725,0.993563766,0,16671.9668,0.600000038,18130.709
17-Feb-20,Packing Line 01,1st,82.30%,0.984889069,0.837527847,0.997947769,299,11670.01367,0.600000076,14176.76
18-Feb-20,Packing Line 01,1st,87.20%,1,0.877285156,0.994231796,0,14651.0166,0.600000038,16797.295
19-Feb-20,Packing Line 01,1st,79.90%,1,0.8003759,0.998896866,0,13583.01367,0.600000038,16989.535
20-Feb-20,Packing Line 01,1st,81.60%,0.937583237,0.871769104,0.99835228,1500,13935.99707,0.600000038,17078.232
21-Feb-20,Packing Line 01,1st,86.00%,1,0.863704834,0.996088028,0,14767.99219,0.600000038,17165.576
24-Feb-20,Packing Line 01,1st,83.80%,1,0.842573166,0.99437233,0,16256.00781,0.600000038,19402.48
25-Feb-20,Packing Line 01,1st,72.60%,0.982421188,0.748946533,0.987256927,300,8987.005859,0.599999962,12371.896
26-Feb-20,Packing Line 01,1st,88.40%,1,0.881647034,0.995720825,0,16521.00989,1.200000076,18695.176
27-Feb-20,Packing Line 01,1st,86.10%,1,0.864325485,0.995909882,0,12417.96387,0.600000076,14426.237
28-Feb-20,Packing Line 01,1st,80.00%,0.983258667,0.814598007,0.998466415,299,10417,0.600000038,13025.61
29-Feb-20,Packing Line 01,1st,78.80%,0.972887344,0.810544662,0.999015808,599,12180.95703,0.600000038,15462.138
2-Mar-20,Packing Line 01,1st,82.90%,0.969956894,0.856773987,0.99776268,620,12041.00195,0.600000038,14521.674
3-Mar-20,Packing Line 01,1st,92.50%,1,0.931558609,0.992904892,0,12174.99023,0.600000038,13162.876
4-Mar-20,Packing Line 01,1st,79.40%,0.973557739,0.817352982,0.998417587,600,12618.99512,0.599999962,15883.317
5-Mar-20,Packing Line 01,1st,85.70%,0.912294947,0.884333191,0.996183039,1444,18007.96716,1.800000153,21005.541
6-Mar-20,Packing Line 01,1st,77.60%,0.97595211,0.895882301,0.997829018,1201,16851.95923,1.200000038,21723.084
7-Mar-20,Packing Line 01,1st,76.90%,1,0.772692413,0.995114059,0,12220.00586,0.600000076,15892.489
9-Mar-20,Packing Line 01,1st,94.90%,0.994019394,0.973207436,0.996371155,300,17720.80115,1.2,18681.5
10-Mar-20,Packing Line 01,1st,80.00%,0.9816008,0.81574295,0.999452744,300,9132.013672,0.599999962,11410.798
11-Mar-20,Packing Line 01,1st,87.00%,0.954151535,0.91874054,0.992812576,1201,16713.95703,0.599999962,19204.445
12-Mar-20,Packing Line 01,1st,83.00%,0.960633316,0.865143509,0.999022446,900,13284.97461,0.600000038,16000.726
13-Mar-20,Packing Line 01,1st,93.60%,0.986533203,0.954168167,0.994341507,300,15288.00586,0.600000038,16333.478
14-Mar-20,Packing Line 01,1st,74.50%,0.921643753,0.809451675,0.998749466,1800,11980.00488,0.600000038,16078.533
15-Mar-20,Packing Line 01,1st,65.00%,0.809760666,0.804395828,0.997700348,4705,11279.98633,0.600000038,17357.291
16-Mar-20,Packing Line 01,1st,30.50%,0.59092123,0.512255058,0.997433548,10450,5891.998291,1.200000076,19287.164
17-Mar-20,Packing Line 01,1st,59.90%,1,0.601674576,0.996042099,0,3020.006104,0.600000038,5039.2798
