Day of Start Time,Location Name,Shift Name,Avg. Quality
21-Jan-20,Packing Line 01,2nd,0.990665817
22-Jan-20,Packing Line 01,2nd,0.998849869
23-Jan-20,Packing Line 01,2nd,0.991130371
24-Jan-20,Packing Line 01,2nd,0.994990654
27-Jan-20,Packing Line 01,2nd,0.999090271
28-Jan-20,Packing Line 01,2nd,0.9829142
29-Jan-20,Packing Line 01,2nd,0.994646416
30-Jan-20,Packing Line 01,2nd,0.988823814
31-Jan-20,Packing Line 01,2nd,0.996871414
3-Feb-20,Packing Line 01,2nd,0.990184479
4-Feb-20,Packing Line 01,2nd,0.658920593
5-Feb-20,Packing Line 01,2nd,0.993864212
6-Feb-20,Packing Line 01,2nd,0.996472626
7-Feb-20,Packing Line 01,2nd,0.999752884
10-Feb-20,Packing Line 01,2nd,0.99947403
11-Feb-20,Packing Line 01,2nd,0.99556015
12-Feb-20,Packing Line 01,2nd,0.969599457
13-Feb-20,Packing Line 01,2nd,0.994308319
14-Feb-20,Packing Line 01,2nd,0.998874283
17-Feb-20,Packing Line 01,2nd,0.986673508
18-Feb-20,Packing Line 01,2nd,0.996737213
19-Feb-20,Packing Line 01,2nd,0.998103104
20-Feb-20,Packing Line 01,2nd,0.999607925
21-Feb-20,Packing Line 01,2nd,0.998988953
24-Feb-20,Packing Line 01,2nd,0.98786705
25-Feb-20,Packing Line 01,2nd,0.996857376
26-Feb-20,Packing Line 01,2nd,0.989392395
27-Feb-20,Packing Line 01,2nd,0.99932209
28-Feb-20,Packing Line 01,2nd,0.991313553
29-Feb-20,Packing Line 01,2nd,0.996963425
2-Mar-20,Packing Line 01,2nd,0.998640327
3-Mar-20,Packing Line 01,2nd,0.994391479
4-Mar-20,Packing Line 01,2nd,0.998226929
5-Mar-20,Packing Line 01,2nd,0.995615234
6-Mar-20,Packing Line 01,2nd,0.996270866
7-Mar-20,Packing Line 01,2nd,0.99935791
8-Mar-20,Packing Line 01,2nd,0.985081711
9-Mar-20,Packing Line 01,2nd,0.999649048
10-Mar-20,Packing Line 01,2nd,0.994566498
11-Mar-20,Packing Line 01,2nd,0.984576263
12-Mar-20,Packing Line 01,2nd,0.999313431
13-Mar-20,Packing Line 01,2nd,0.991849899
14-Mar-20,Packing Line 01,2nd,0.998399658
15-Mar-20,Packing Line 01,2nd,0.998897858
16-Mar-20,Packing Line 01,2nd,0.999009552
17-Mar-20,Packing Line 01,2nd,0.990883331
18-Mar-20,Packing Line 01,2nd,0.997626038
20-Mar-20,Packing Line 01,2nd,1
22-Mar-20,Packing Line 01,2nd,0.972222214
23-Mar-20,Packing Line 01,2nd,0.99426796
29-Mar-20,Packing Line 01,2nd,0.991926778
30-Mar-20,Packing Line 01,2nd,1
1-Apr-20,Packing Line 01,2nd,1
2-Apr-20,Packing Line 01,2nd,1
3-Apr-20,Packing Line 01,2nd,1
6-Apr-20,Packing Line 01,2nd,1
7-Apr-20,Packing Line 01,2nd,1
8-Apr-20,Packing Line 01,2nd,1
9-Apr-20,Packing Line 01,2nd,1
10-Apr-20,Packing Line 01,2nd,1
2-Jan-20,Packing Line 01,1st,0.994145584
3-Jan-20,Packing Line 01,1st,0.992545166
4-Jan-20,Packing Line 01,1st,0.994349899
6-Jan-20,Packing Line 01,1st,0.998142509
7-Jan-20,Packing Line 01,1st,0.989897232
8-Jan-20,Packing Line 01,1st,0.999695587
9-Jan-20,Packing Line 01,1st,0.998014297
10-Jan-20,Packing Line 01,1st,0.995158463
11-Jan-20,Packing Line 01,1st,0.993710136
13-Jan-20,Packing Line 01,1st,0.998052406
14-Jan-20,Packing Line 01,1st,0.991808968
15-Jan-20,Packing Line 01,1st,0.979291229
16-Jan-20,Packing Line 01,1st,0.996757431
17-Jan-20,Packing Line 01,1st,0.996628647
18-Jan-20,Packing Line 01,1st,0.994299011
20-Jan-20,Packing Line 01,1st,0.997543488
21-Jan-20,Packing Line 01,1st,0.997416534
22-Jan-20,Packing Line 01,1st,0.996198883
23-Jan-20,Packing Line 01,1st,0.998520889
24-Jan-20,Packing Line 01,1st,0.998024445
27-Jan-20,Packing Line 01,1st,0.996391411
28-Jan-20,Packing Line 01,1st,0.997052689
29-Jan-20,Packing Line 01,1st,0.99639534
30-Jan-20,Packing Line 01,1st,0.983638153
31-Jan-20,Packing Line 01,1st,0.993720016
2-Feb-20,Packing Line 01,1st,0.994212952
3-Feb-20,Packing Line 01,1st,0.994144516
4-Feb-20,Packing Line 01,1st,0.995311279
5-Feb-20,Packing Line 01,1st,0.992286301
6-Feb-20,Packing Line 01,1st,0.998670197
7-Feb-20,Packing Line 01,1st,0.999017105
10-Feb-20,Packing Line 01,1st,0.997839127
11-Feb-20,Packing Line 01,1st,0.980047913
12-Feb-20,Packing Line 01,1st,0.980003891
13-Feb-20,Packing Line 01,1st,0.991913071
14-Feb-20,Packing Line 01,1st,0.993563766
17-Feb-20,Packing Line 01,1st,0.997947769
18-Feb-20,Packing Line 01,1st,0.994231796
19-Feb-20,Packing Line 01,1st,0.998896866
20-Feb-20,Packing Line 01,1st,0.99835228
21-Feb-20,Packing Line 01,1st,0.996088028
24-Feb-20,Packing Line 01,1st,0.99437233
25-Feb-20,Packing Line 01,1st,0.987256927
26-Feb-20,Packing Line 01,1st,0.995720825
27-Feb-20,Packing Line 01,1st,0.995909882
28-Feb-20,Packing Line 01,1st,0.998466415
29-Feb-20,Packing Line 01,1st,0.999015808
2-Mar-20,Packing Line 01,1st,0.99776268
3-Mar-20,Packing Line 01,1st,0.992904892
4-Mar-20,Packing Line 01,1st,0.998417587
5-Mar-20,Packing Line 01,1st,0.996183039
6-Mar-20,Packing Line 01,1st,0.997829018
7-Mar-20,Packing Line 01,1st,0.995114059
9-Mar-20,Packing Line 01,1st,0.996371155
10-Mar-20,Packing Line 01,1st,0.999452744
11-Mar-20,Packing Line 01,1st,0.992812576
12-Mar-20,Packing Line 01,1st,0.999022446
13-Mar-20,Packing Line 01,1st,0.994341507
14-Mar-20,Packing Line 01,1st,0.998749466
15-Mar-20,Packing Line 01,1st,0.997700348
16-Mar-20,Packing Line 01,1st,0.997433548
17-Mar-20,Packing Line 01,1st,0.996042099
18-Mar-20,Packing Line 01,1st,0.99870018
19-Mar-20,Packing Line 01,1st,0.998123665
20-Mar-20,Packing Line 01,1st,0.664742203
21-Mar-20,Packing Line 01,1st,0.994818827
22-Mar-20,Packing Line 01,1st,0.994523036
23-Mar-20,Packing Line 01,1st,0.996516914
24-Mar-20,Packing Line 01,1st,0.997734032
25-Mar-20,Packing Line 01,1st,0.998745193
26-Mar-20,Packing Line 01,1st,0.999124565
27-Mar-20,Packing Line 01,1st,0.998038025
28-Mar-20,Packing Line 01,1st,0.99864399
29-Mar-20,Packing Line 01,1st,0.997347298
30-Mar-20,Packing Line 01,1st,0.994679985
31-Mar-20,Packing Line 01,1st,1
1-Apr-20,Packing Line 01,1st,1
2-Apr-20,Packing Line 01,1st,1
3-Apr-20,Packing Line 01,1st,1
6-Apr-20,Packing Line 01,1st,1
8-Apr-20,Packing Line 01,1st,1
9-Apr-20,Packing Line 01,1st,1
10-Apr-20,Packing Line 01,1st,1
2-Jan-20,Packing Line 02,3rd,1
3-Jan-20,Packing Line 02,3rd,1
4-Jan-20,Packing Line 02,3rd,1
6-Jan-20,Packing Line 02,3rd,1
7-Jan-20,Packing Line 02,3rd,1
8-Jan-20,Packing Line 02,3rd,1
9-Jan-20,Packing Line 02,3rd,1
10-Jan-20,Packing Line 02,3rd,1
11-Jan-20,Packing Line 02,3rd,1
13-Jan-20,Packing Line 02,3rd,1
14-Jan-20,Packing Line 02,3rd,1
15-Jan-20,Packing Line 02,3rd,1
16-Jan-20,Packing Line 02,3rd,1
17-Jan-20,Packing Line 02,3rd,1
18-Jan-20,Packing Line 02,3rd,1
20-Jan-20,Packing Line 02,3rd,1
21-Jan-20,Packing Line 02,3rd,1
22-Jan-20,Packing Line 02,3rd,1
23-Jan-20,Packing Line 02,3rd,1
24-Jan-20,Packing Line 02,3rd,1
27-Jan-20,Packing Line 02,3rd,1
28-Jan-20,Packing Line 02,3rd,1
29-Jan-20,Packing Line 02,3rd,1
30-Jan-20,Packing Line 02,3rd,1
31-Jan-20,Packing Line 02,3rd,1
3-Feb-20,Packing Line 02,3rd,1
4-Feb-20,Packing Line 02,3rd,1
5-Feb-20,Packing Line 02,3rd,1
6-Feb-20,Packing Line 02,3rd,1
7-Feb-20,Packing Line 02,3rd,1
10-Feb-20,Packing Line 02,3rd,1
11-Feb-20,Packing Line 02,3rd,1
12-Feb-20,Packing Line 02,3rd,1
13-Feb-20,Packing Line 02,3rd,1
14-Feb-20,Packing Line 02,3rd,1
16-Feb-20,Packing Line 02,3rd,1
17-Feb-20,Packing Line 02,3rd,1
18-Feb-20,Packing Line 02,3rd,1
19-Feb-20,Packing Line 02,3rd,1
20-Feb-20,Packing Line 02,3rd,1
21-Feb-20,Packing Line 02,3rd,1
23-Feb-20,Packing Line 02,3rd,1
24-Feb-20,Packing Line 02,3rd,1
25-Feb-20,Packing Line 02,3rd,1
26-Feb-20,Packing Line 02,3rd,1
27-Feb-20,Packing Line 02,3rd,1
28-Feb-20,Packing Line 02,3rd,1
29-Feb-20,Packing Line 02,3rd,1
2-Mar-20,Packing Line 02,3rd,1
3-Mar-20,Packing Line 02,3rd,0.5
4-Mar-20,Packing Line 02,3rd,1
5-Mar-20,Packing Line 02,3rd,1
6-Mar-20,Packing Line 02,3rd,1
7-Mar-20,Packing Line 02,3rd,1
8-Mar-20,Packing Line 02,3rd,1
9-Mar-20,Packing Line 02,3rd,1
10-Mar-20,Packing Line 02,3rd,1
11-Mar-20,Packing Line 02,3rd,1
12-Mar-20,Packing Line 02,3rd,1
13-Mar-20,Packing Line 02,3rd,1
14-Mar-20,Packing Line 02,3rd,1
15-Mar-20,Packing Line 02,3rd,1
16-Mar-20,Packing Line 02,3rd,1
17-Mar-20,Packing Line 02,3rd,1
18-Mar-20,Packing Line 02,3rd,1
19-Mar-20,Packing Line 02,3rd,1
20-Mar-20,Packing Line 02,3rd,1
21-Mar-20,Packing Line 02,3rd,1
22-Mar-20,Packing Line 02,3rd,1
23-Mar-20,Packing Line 02,3rd,1
24-Mar-20,Packing Line 02,3rd,1
25-Mar-20,Packing Line 02,3rd,1
26-Mar-20,Packing Line 02,3rd,1
27-Mar-20,Packing Line 02,3rd,1
28-Mar-20,Packing Line 02,3rd,1
29-Mar-20,Packing Line 02,3rd,1
30-Mar-20,Packing Line 02,3rd,1
31-Mar-20,Packing Line 02,3rd,1
1-Apr-20,Packing Line 02,3rd,1
2-Apr-20,Packing Line 02,3rd,1
3-Apr-20,Packing Line 02,3rd,1
6-Apr-20,Packing Line 02,3rd,1
9-Apr-20,Packing Line 02,3rd,1
2-Jan-20,Packing Line 02,2nd,1
3-Jan-20,Packing Line 02,2nd,0.5
4-Jan-20,Packing Line 02,2nd,1
6-Jan-20,Packing Line 02,2nd,1
7-Jan-20,Packing Line 02,2nd,1
8-Jan-20,Packing Line 02,2nd,1
9-Jan-20,Packing Line 02,2nd,1
10-Jan-20,Packing Line 02,2nd,1
11-Jan-20,Packing Line 02,2nd,1
13-Jan-20,Packing Line 02,2nd,1
14-Jan-20,Packing Line 02,2nd,1
15-Jan-20,Packing Line 02,2nd,1
16-Jan-20,Packing Line 02,2nd,1
17-Jan-20,Packing Line 02,2nd,1
18-Jan-20,Packing Line 02,2nd,1
20-Jan-20,Packing Line 02,2nd,1
21-Jan-20,Packing Line 02,2nd,1
22-Jan-20,Packing Line 02,2nd,1
23-Jan-20,Packing Line 02,2nd,1
24-Jan-20,Packing Line 02,2nd,1
27-Jan-20,Packing Line 02,2nd,1
28-Jan-20,Packing Line 02,2nd,1
29-Jan-20,Packing Line 02,2nd,1
30-Jan-20,Packing Line 02,2nd,1
31-Jan-20,Packing Line 02,2nd,1
3-Feb-20,Packing Line 02,2nd,1
4-Feb-20,Packing Line 02,2nd,1
5-Feb-20,Packing Line 02,2nd,1
6-Feb-20,Packing Line 02,2nd,1
7-Feb-20,Packing Line 02,2nd,1
10-Feb-20,Packing Line 02,2nd,1
11-Feb-20,Packing Line 02,2nd,1
12-Feb-20,Packing Line 02,2nd,1
13-Feb-20,Packing Line 02,2nd,1
14-Feb-20,Packing Line 02,2nd,1
17-Feb-20,Packing Line 02,2nd,1
18-Feb-20,Packing Line 02,2nd,1
19-Feb-20,Packing Line 02,2nd,1
20-Feb-20,Packing Line 02,2nd,1
21-Feb-20,Packing Line 02,2nd,1
24-Feb-20,Packing Line 02,2nd,1
25-Feb-20,Packing Line 02,2nd,1
26-Feb-20,Packing Line 02,2nd,1
27-Feb-20,Packing Line 02,2nd,1
28-Feb-20,Packing Line 02,2nd,1
29-Feb-20,Packing Line 02,2nd,1
2-Mar-20,Packing Line 02,2nd,1
3-Mar-20,Packing Line 02,2nd,1
4-Mar-20,Packing Line 02,2nd,1
5-Mar-20,Packing Line 02,2nd,1
6-Mar-20,Packing Line 02,2nd,1
7-Mar-20,Packing Line 02,2nd,1
8-Mar-20,Packing Line 02,2nd,1
9-Mar-20,Packing Line 02,2nd,1
10-Mar-20,Packing Line 02,2nd,1
11-Mar-20,Packing Line 02,2nd,1
12-Mar-20,Packing Line 02,2nd,1
13-Mar-20,Packing Line 02,2nd,1
14-Mar-20,Packing Line 02,2nd,1
15-Mar-20,Packing Line 02,2nd,1
16-Mar-20,Packing Line 02,2nd,1
17-Mar-20,Packing Line 02,2nd,1
18-Mar-20,Packing Line 02,2nd,1
19-Mar-20,Packing Line 02,2nd,1
20-Mar-20,Packing Line 02,2nd,1
22-Mar-20,Packing Line 02,2nd,1
23-Mar-20,Packing Line 02,2nd,1
24-Mar-20,Packing Line 02,2nd,1
25-Mar-20,Packing Line 02,2nd,1
26-Mar-20,Packing Line 02,2nd,1
27-Mar-20,Packing Line 02,2nd,1
28-Mar-20,Packing Line 02,2nd,1
29-Mar-20,Packing Line 02,2nd,1
30-Mar-20,Packing Line 02,2nd,1
31-Mar-20,Packing Line 02,2nd,1
1-Apr-20,Packing Line 02,2nd,1
2-Apr-20,Packing Line 02,2nd,1
3-Apr-20,Packing Line 02,2nd,1
6-Apr-20,Packing Line 02,2nd,1
9-Apr-20,Packing Line 02,2nd,1
10-Apr-20,Packing Line 02,2nd,1
2-Jan-20,Packing Line 02,1st,1
3-Jan-20,Packing Line 02,1st,1
4-Jan-20,Packing Line 02,1st,1
6-Jan-20,Packing Line 02,1st,0.5
7-Jan-20,Packing Line 02,1st,0.666666667
8-Jan-20,Packing Line 02,1st,1
9-Jan-20,Packing Line 02,1st,1
10-Jan-20,Packing Line 02,1st,1
11-Jan-20,Packing Line 02,1st,1
13-Jan-20,Packing Line 02,1st,1
14-Jan-20,Packing Line 02,1st,1
15-Jan-20,Packing Line 02,1st,1
16-Jan-20,Packing Line 02,1st,1
17-Jan-20,Packing Line 02,1st,1
18-Jan-20,Packing Line 02,1st,1
20-Jan-20,Packing Line 02,1st,1
21-Jan-20,Packing Line 02,1st,0.666666667
22-Jan-20,Packing Line 02,1st,1
23-Jan-20,Packing Line 02,1st,1
24-Jan-20,Packing Line 02,1st,1
27-Jan-20,Packing Line 02,1st,0.5
28-Jan-20,Packing Line 02,1st,1
29-Jan-20,Packing Line 02,1st,1
30-Jan-20,Packing Line 02,1st,1
31-Jan-20,Packing Line 02,1st,1
2-Feb-20,Packing Line 02,1st,0.5
4-Feb-20,Packing Line 02,1st,1
5-Feb-20,Packing Line 02,1st,1
6-Feb-20,Packing Line 02,1st,0.5
7-Feb-20,Packing Line 02,1st,1
10-Feb-20,Packing Line 02,1st,1
11-Feb-20,Packing Line 02,1st,1
12-Feb-20,Packing Line 02,1st,1
13-Feb-20,Packing Line 02,1st,1
14-Feb-20,Packing Line 02,1st,1
17-Feb-20,Packing Line 02,1st,1
18-Feb-20,Packing Line 02,1st,1
19-Feb-20,Packing Line 02,1st,1
20-Feb-20,Packing Line 02,1st,1
21-Feb-20,Packing Line 02,1st,1
24-Feb-20,Packing Line 02,1st,1
25-Feb-20,Packing Line 02,1st,1
26-Feb-20,Packing Line 02,1st,1
27-Feb-20,Packing Line 02,1st,1
28-Feb-20,Packing Line 02,1st,1
29-Feb-20,Packing Line 02,1st,1
2-Mar-20,Packing Line 02,1st,1
3-Mar-20,Packing Line 02,1st,1
4-Mar-20,Packing Line 02,1st,1
5-Mar-20,Packing Line 02,1st,1
6-Mar-20,Packing Line 02,1st,1
7-Mar-20,Packing Line 02,1st,0.5
9-Mar-20,Packing Line 02,1st,1
10-Mar-20,Packing Line 02,1st,1
11-Mar-20,Packing Line 02,1st,1
12-Mar-20,Packing Line 02,1st,1
13-Mar-20,Packing Line 02,1st,1
14-Mar-20,Packing Line 02,1st,1
15-Mar-20,Packing Line 02,1st,1
16-Mar-20,Packing Line 02,1st,1
17-Mar-20,Packing Line 02,1st,1
18-Mar-20,Packing Line 02,1st,1
19-Mar-20,Packing Line 02,1st,1
20-Mar-20,Packing Line 02,1st,1
21-Mar-20,Packing Line 02,1st,1
22-Mar-20,Packing Line 02,1st,1
23-Mar-20,Packing Line 02,1st,1
24-Mar-20,Packing Line 02,1st,1
25-Mar-20,Packing Line 02,1st,1
26-Mar-20,Packing Line 02,1st,1
27-Mar-20,Packing Line 02,1st,1
28-Mar-20,Packing Line 02,1st,1
29-Mar-20,Packing Line 02,1st,1
30-Mar-20,Packing Line 02,1st,1
31-Mar-20,Packing Line 02,1st,1
1-Apr-20,Packing Line 02,1st,1
2-Apr-20,Packing Line 02,1st,1
3-Apr-20,Packing Line 02,1st,1
6-Apr-20,Packing Line 02,1st,1
7-Apr-20,Packing Line 02,1st,1
10-Apr-20,Packing Line 02,1st,1
8-Jan-20,Packing Line 03,3rd,1
21-Jan-20,Packing Line 03,3rd,0.953124924
22-Jan-20,Packing Line 03,3rd,0.957446823
27-Jan-20,Packing Line 03,3rd,0.497936707
13-Mar-20,Packing Line 03,3rd,0
20-Mar-20,Packing Line 03,3rd,0
21-Mar-20,Packing Line 03,3rd,0
24-Mar-20,Packing Line 03,3rd,0
27-Mar-20,Packing Line 03,3rd,1
28-Mar-20,Packing Line 03,3rd,1
29-Mar-20,Packing Line 03,3rd,1
31-Mar-20,Packing Line 03,3rd,1
1-Apr-20,Packing Line 03,3rd,1
2-Apr-20,Packing Line 03,3rd,1
6-Apr-20,Packing Line 03,3rd,1
7-Apr-20,Packing Line 03,3rd,1
8-Apr-20,Packing Line 03,3rd,1
9-Apr-20,Packing Line 03,3rd,1
7-Jan-20,Packing Line 03,2nd,0.991118927
14-Jan-20,Packing Line 03,2nd,0.988461533
15-Jan-20,Packing Line 03,2nd,0.981065063
16-Jan-20,Packing Line 03,2nd,0.988175659
23-Jan-20,Packing Line 03,2nd,0.991423645
24-Jan-20,Packing Line 03,2nd,0.98253273
27-Jan-20,Packing Line 03,2nd,0.998719482
3-Feb-20,Packing Line 03,2nd,0.981283417
5-Feb-20,Packing Line 03,2nd,0.953893509
10-Mar-20,Packing Line 03,2nd,0
11-Mar-20,Packing Line 03,2nd,0
16-Mar-20,Packing Line 03,2nd,0
19-Mar-20,Packing Line 03,2nd,0
20-Mar-20,Packing Line 03,2nd,0
21-Mar-20,Packing Line 03,2nd,0
22-Mar-20,Packing Line 03,2nd,0
23-Mar-20,Packing Line 03,2nd,0
24-Mar-20,Packing Line 03,2nd,0
25-Mar-20,Packing Line 03,2nd,0
27-Mar-20,Packing Line 03,2nd,0.5
28-Mar-20,Packing Line 03,2nd,1
29-Mar-20,Packing Line 03,2nd,1
30-Mar-20,Packing Line 03,2nd,1
31-Mar-20,Packing Line 03,2nd,1
1-Apr-20,Packing Line 03,2nd,1
2-Apr-20,Packing Line 03,2nd,1
6-Apr-20,Packing Line 03,2nd,1
7-Apr-20,Packing Line 03,2nd,0.5
8-Apr-20,Packing Line 03,2nd,1
9-Apr-20,Packing Line 03,2nd,1
10-Apr-20,Packing Line 03,2nd,1
9-Jan-20,Packing Line 03,1st,0.982456131
15-Jan-20,Packing Line 03,1st,0.986641235
16-Jan-20,Packing Line 03,1st,0.990737953
17-Jan-20,Packing Line 03,1st,0.983143272
18-Jan-20,Packing Line 03,1st,1
22-Jan-20,Packing Line 03,1st,0.98755188
24-Jan-20,Packing Line 03,1st,0.975308685
27-Jan-20,Packing Line 03,1st,0.972746277
28-Jan-20,Packing Line 03,1st,0.977719498
30-Jan-20,Packing Line 03,1st,0.959501572
3-Feb-20,Packing Line 03,1st,0.980984421
6-Feb-20,Packing Line 03,1st,0.959001694
12-Feb-20,Packing Line 03,1st,0
17-Mar-20,Packing Line 03,1st,0
18-Mar-20,Packing Line 03,1st,0
19-Mar-20,Packing Line 03,1st,0
22-Mar-20,Packing Line 03,1st,0
25-Mar-20,Packing Line 03,1st,0
26-Mar-20,Packing Line 03,1st,0
27-Mar-20,Packing Line 03,1st,0
28-Mar-20,Packing Line 03,1st,1
29-Mar-20,Packing Line 03,1st,1
30-Mar-20,Packing Line 03,1st,1
1-Apr-20,Packing Line 03,1st,1
2-Apr-20,Packing Line 03,1st,1
6-Apr-20,Packing Line 03,1st,0
7-Apr-20,Packing Line 03,1st,1
8-Apr-20,Packing Line 03,1st,1
9-Apr-20,Packing Line 03,1st,1
10-Apr-20,Packing Line 03,1st,1
2-Jan-20,Packing Line 04,3rd,0.988472341
3-Jan-20,Packing Line 04,3rd,0.99729332
4-Jan-20,Packing Line 04,3rd,0.954724274
6-Jan-20,Packing Line 04,3rd,0.973922195
7-Jan-20,Packing Line 04,3rd,0.957222977
8-Jan-20,Packing Line 04,3rd,0.988418732
9-Jan-20,Packing Line 04,3rd,0.48614418
10-Jan-20,Packing Line 04,3rd,0.978618317
11-Jan-20,Packing Line 04,3rd,0.99080101
13-Jan-20,Packing Line 04,3rd,0.991769028
14-Jan-20,Packing Line 04,3rd,0.977889862
15-Jan-20,Packing Line 04,3rd,0.973591919
16-Jan-20,Packing Line 04,3rd,0.96016243
17-Jan-20,Packing Line 04,3rd,0.983942795
18-Jan-20,Packing Line 04,3rd,0.977750702
20-Jan-20,Packing Line 04,3rd,0.982858734
21-Jan-20,Packing Line 04,3rd,0.977593384
22-Jan-20,Packing Line 04,3rd,0.983482056
23-Jan-20,Packing Line 04,3rd,0.988623428
24-Jan-20,Packing Line 04,3rd,0.959614258
27-Jan-20,Packing Line 04,3rd,0.972077637
