Day of Start Time,Location Name,Shift Name,Avg. Availability
30-Jan-20,Packing Line 02,3rd,0.707830124
31-Jan-20,Packing Line 02,3rd,0.928245087
3-Feb-20,Packing Line 02,3rd,0.923043137
4-Feb-20,Packing Line 02,3rd,0.713561783
5-Feb-20,Packing Line 02,3rd,0.560651245
6-Feb-20,Packing Line 02,3rd,0.672949142
7-Feb-20,Packing Line 02,3rd,0.835025406
10-Feb-20,Packing Line 02,3rd,0.999411621
11-Feb-20,Packing Line 02,3rd,0.857414551
12-Feb-20,Packing Line 02,3rd,0.98904747
13-Feb-20,Packing Line 02,3rd,0.821577225
14-Feb-20,Packing Line 02,3rd,0.876384964
16-Feb-20,Packing Line 02,3rd,0.837368927
17-Feb-20,Packing Line 02,3rd,0.925877075
18-Feb-20,Packing Line 02,3rd,0.926971741
19-Feb-20,Packing Line 02,3rd,0.943689499
20-Feb-20,Packing Line 02,3rd,0.850988197
21-Feb-20,Packing Line 02,3rd,0.87822319
23-Feb-20,Packing Line 02,3rd,0.929232483
24-Feb-20,Packing Line 02,3rd,0.659809952
25-Feb-20,Packing Line 02,3rd,0.447944374
26-Feb-20,Packing Line 02,3rd,0.892603989
27-Feb-20,Packing Line 02,3rd,0.896572952
28-Feb-20,Packing Line 02,3rd,0.55985527
29-Feb-20,Packing Line 02,3rd,0.695763321
2-Mar-20,Packing Line 02,3rd,0.821428299
3-Mar-20,Packing Line 02,3rd,0.976125374
4-Mar-20,Packing Line 02,3rd,0.795441284
5-Mar-20,Packing Line 02,3rd,0.892737999
6-Mar-20,Packing Line 02,3rd,0.858149986
7-Mar-20,Packing Line 02,3rd,1
8-Mar-20,Packing Line 02,3rd,0.877623672
9-Mar-20,Packing Line 02,3rd,0.580498886
10-Mar-20,Packing Line 02,3rd,0.633591042
11-Mar-20,Packing Line 02,3rd,0.632719345
12-Mar-20,Packing Line 02,3rd,0.867269974
13-Mar-20,Packing Line 02,3rd,0.81710289
14-Mar-20,Packing Line 02,3rd,0.894113464
15-Mar-20,Packing Line 02,3rd,0.665408401
16-Mar-20,Packing Line 02,3rd,0.998910828
17-Mar-20,Packing Line 02,3rd,0.780945435
18-Mar-20,Packing Line 02,3rd,0.976842346
19-Mar-20,Packing Line 02,3rd,0.793500214
20-Mar-20,Packing Line 02,3rd,0.891548843
21-Mar-20,Packing Line 02,3rd,0.735577316
22-Mar-20,Packing Line 02,3rd,1
23-Mar-20,Packing Line 02,3rd,0.836372757
24-Mar-20,Packing Line 02,3rd,0.934711838
25-Mar-20,Packing Line 02,3rd,0.954810104
26-Mar-20,Packing Line 02,3rd,0.946336136
27-Mar-20,Packing Line 02,3rd,0.845313034
28-Mar-20,Packing Line 02,3rd,0.673184452
29-Mar-20,Packing Line 02,3rd,0.883031387
30-Mar-20,Packing Line 02,3rd,0.916832962
31-Mar-20,Packing Line 02,3rd,0.865422211
1-Apr-20,Packing Line 02,3rd,0.889214249
2-Apr-20,Packing Line 02,3rd,0.835765686
3-Apr-20,Packing Line 02,3rd,0.645241318
6-Apr-20,Packing Line 02,3rd,0.705369415
9-Apr-20,Packing Line 02,3rd,0.637592621
2-Jan-20,Packing Line 02,2nd,0.909884644
3-Jan-20,Packing Line 02,2nd,0.98773941
4-Jan-20,Packing Line 02,2nd,0.90808712
6-Jan-20,Packing Line 02,2nd,0.977571831
7-Jan-20,Packing Line 02,2nd,0.756742477
8-Jan-20,Packing Line 02,2nd,0.964260254
9-Jan-20,Packing Line 02,2nd,0.923033447
10-Jan-20,Packing Line 02,2nd,0.939905853
11-Jan-20,Packing Line 02,2nd,0.962142105
13-Jan-20,Packing Line 02,2nd,1
14-Jan-20,Packing Line 02,2nd,0.97690567
15-Jan-20,Packing Line 02,2nd,0.963991013
16-Jan-20,Packing Line 02,2nd,0.964524918
17-Jan-20,Packing Line 02,2nd,0.984312592
18-Jan-20,Packing Line 02,2nd,0.963684616
20-Jan-20,Packing Line 02,2nd,0.984577713
21-Jan-20,Packing Line 02,2nd,0.914901657
22-Jan-20,Packing Line 02,2nd,0.945389481
23-Jan-20,Packing Line 02,2nd,0.949951782
24-Jan-20,Packing Line 02,2nd,0.982245941
27-Jan-20,Packing Line 02,2nd,0.917958755
28-Jan-20,Packing Line 02,2nd,1
29-Jan-20,Packing Line 02,2nd,0.992588425
30-Jan-20,Packing Line 02,2nd,0.976946793
31-Jan-20,Packing Line 02,2nd,1
3-Feb-20,Packing Line 02,2nd,0.991547012
4-Feb-20,Packing Line 02,2nd,0.861851501
5-Feb-20,Packing Line 02,2nd,0.695996151
6-Feb-20,Packing Line 02,2nd,0.995513992
7-Feb-20,Packing Line 02,2nd,0.970705643
10-Feb-20,Packing Line 02,2nd,1
11-Feb-20,Packing Line 02,2nd,1
12-Feb-20,Packing Line 02,2nd,0.996678696
13-Feb-20,Packing Line 02,2nd,0.995829086
14-Feb-20,Packing Line 02,2nd,1
17-Feb-20,Packing Line 02,2nd,0.769959297
18-Feb-20,Packing Line 02,2nd,0.763107681
19-Feb-20,Packing Line 02,2nd,0.997702408
20-Feb-20,Packing Line 02,2nd,0.955287476
21-Feb-20,Packing Line 02,2nd,0.891055984
24-Feb-20,Packing Line 02,2nd,0.869352188
25-Feb-20,Packing Line 02,2nd,0.987933502
26-Feb-20,Packing Line 02,2nd,0.950071182
27-Feb-20,Packing Line 02,2nd,0.482756653
28-Feb-20,Packing Line 02,2nd,0.996112595
29-Feb-20,Packing Line 02,2nd,0.989538651
2-Mar-20,Packing Line 02,2nd,0.986417961
3-Mar-20,Packing Line 02,2nd,0.988254089
4-Mar-20,Packing Line 02,2nd,0.941304474
5-Mar-20,Packing Line 02,2nd,0.869527435
6-Mar-20,Packing Line 02,2nd,0.911417465
7-Mar-20,Packing Line 02,2nd,0.426944809
8-Mar-20,Packing Line 02,2nd,0.792655945
9-Mar-20,Packing Line 02,2nd,0.975283585
10-Mar-20,Packing Line 02,2nd,0.870675735
11-Mar-20,Packing Line 02,2nd,0.920049133
12-Mar-20,Packing Line 02,2nd,0.862501831
13-Mar-20,Packing Line 02,2nd,0.971975327
14-Mar-20,Packing Line 02,2nd,0.950552139
15-Mar-20,Packing Line 02,2nd,0.953488312
16-Mar-20,Packing Line 02,2nd,0.886234538
17-Mar-20,Packing Line 02,2nd,0.972132339
18-Mar-20,Packing Line 02,2nd,0.483646851
19-Mar-20,Packing Line 02,2nd,0.860266724
20-Mar-20,Packing Line 02,2nd,0.9319664
22-Mar-20,Packing Line 02,2nd,0.975344696
23-Mar-20,Packing Line 02,2nd,0.681312637
24-Mar-20,Packing Line 02,2nd,0.985279388
25-Mar-20,Packing Line 02,2nd,0.664603729
26-Mar-20,Packing Line 02,2nd,0.877917938
27-Mar-20,Packing Line 02,2nd,0.989197464
28-Mar-20,Packing Line 02,2nd,1
29-Mar-20,Packing Line 02,2nd,0.999662552
30-Mar-20,Packing Line 02,2nd,1
31-Mar-20,Packing Line 02,2nd,0.98989296
1-Apr-20,Packing Line 02,2nd,1
2-Apr-20,Packing Line 02,2nd,0.978100739
3-Apr-20,Packing Line 02,2nd,0.984650879
6-Apr-20,Packing Line 02,2nd,0.782610245
9-Apr-20,Packing Line 02,2nd,0.559588356
10-Apr-20,Packing Line 02,2nd,0.997141876
2-Jan-20,Packing Line 02,1st,0.818082314
3-Jan-20,Packing Line 02,1st,0.968341904
4-Jan-20,Packing Line 02,1st,0.921077957
6-Jan-20,Packing Line 02,1st,0.42545311
7-Jan-20,Packing Line 02,1st,0.909238866
8-Jan-20,Packing Line 02,1st,0.930922979
9-Jan-20,Packing Line 02,1st,0.844514694
10-Jan-20,Packing Line 02,1st,0.842826958
11-Jan-20,Packing Line 02,1st,1
13-Jan-20,Packing Line 02,1st,0.759712524
14-Jan-20,Packing Line 02,1st,0.606270351
15-Jan-20,Packing Line 02,1st,0.543139172
16-Jan-20,Packing Line 02,1st,0.809523811
17-Jan-20,Packing Line 02,1st,0.977443619
18-Jan-20,Packing Line 02,1st,0.991586736
20-Jan-20,Packing Line 02,1st,0.61814518
21-Jan-20,Packing Line 02,1st,0.960131556
22-Jan-20,Packing Line 02,1st,1
23-Jan-20,Packing Line 02,1st,0.796747971
24-Jan-20,Packing Line 02,1st,0.91661705
27-Jan-20,Packing Line 02,1st,0.949063644
28-Jan-20,Packing Line 02,1st,0.684285965
29-Jan-20,Packing Line 02,1st,0.707466202
30-Jan-20,Packing Line 02,1st,0.863529205
31-Jan-20,Packing Line 02,1st,0.776818008
2-Feb-20,Packing Line 02,1st,0.940491295
4-Feb-20,Packing Line 02,1st,1
5-Feb-20,Packing Line 02,1st,0.598838577
6-Feb-20,Packing Line 02,1st,0.289093666
7-Feb-20,Packing Line 02,1st,0.823430939
10-Feb-20,Packing Line 02,1st,0.93716774
11-Feb-20,Packing Line 02,1st,0.958666153
12-Feb-20,Packing Line 02,1st,0.94576355
13-Feb-20,Packing Line 02,1st,0.863555527
14-Feb-20,Packing Line 02,1st,0.920974579
17-Feb-20,Packing Line 02,1st,0.786188507
18-Feb-20,Packing Line 02,1st,0.838822327
19-Feb-20,Packing Line 02,1st,0.947159042
20-Feb-20,Packing Line 02,1st,0.915561295
21-Feb-20,Packing Line 02,1st,0.83659935
24-Feb-20,Packing Line 02,1st,0.781937103
25-Feb-20,Packing Line 02,1st,0.896476974
26-Feb-20,Packing Line 02,1st,0.929480896
27-Feb-20,Packing Line 02,1st,0.830449829
28-Feb-20,Packing Line 02,1st,0.879826965
29-Feb-20,Packing Line 02,1st,0.901100311
2-Mar-20,Packing Line 02,1st,1
3-Mar-20,Packing Line 02,1st,0.60518837
4-Mar-20,Packing Line 02,1st,0.818658657
5-Mar-20,Packing Line 02,1st,0.975539474
6-Mar-20,Packing Line 02,1st,0.896201706
7-Mar-20,Packing Line 02,1st,0.895613327
9-Mar-20,Packing Line 02,1st,0.907479706
10-Mar-20,Packing Line 02,1st,0.896899872
11-Mar-20,Packing Line 02,1st,0.855282211
12-Mar-20,Packing Line 02,1st,1
13-Mar-20,Packing Line 02,1st,0.94183342
14-Mar-20,Packing Line 02,1st,0.975113068
15-Mar-20,Packing Line 02,1st,0.420038528
16-Mar-20,Packing Line 02,1st,0.85800209
17-Mar-20,Packing Line 02,1st,0.829237442
18-Mar-20,Packing Line 02,1st,0.920150566
19-Mar-20,Packing Line 02,1st,0.979515839
20-Mar-20,Packing Line 02,1st,0.990449142
21-Mar-20,Packing Line 02,1st,0.761512833
22-Mar-20,Packing Line 02,1st,1
23-Mar-20,Packing Line 02,1st,0.944669876
24-Mar-20,Packing Line 02,1st,0.905546227
25-Mar-20,Packing Line 02,1st,0.728326416
26-Mar-20,Packing Line 02,1st,0.970061874
27-Mar-20,Packing Line 02,1st,0.954225388
28-Mar-20,Packing Line 02,1st,0.613948936
29-Mar-20,Packing Line 02,1st,0.988062363
30-Mar-20,Packing Line 02,1st,1
31-Mar-20,Packing Line 02,1st,0.8262146
1-Apr-20,Packing Line 02,1st,0.993453369
2-Apr-20,Packing Line 02,1st,0.963744812
3-Apr-20,Packing Line 02,1st,0.921977539
6-Apr-20,Packing Line 02,1st,0.707104492
7-Apr-20,Packing Line 02,1st,1
10-Apr-20,Packing Line 02,1st,0.84636673
8-Jan-20,Packing Line 03,3rd,0
21-Jan-20,Packing Line 03,3rd,1
22-Jan-20,Packing Line 03,3rd,0
27-Jan-20,Packing Line 03,3rd,0.5
13-Mar-20,Packing Line 03,3rd,0
20-Mar-20,Packing Line 03,3rd,0
21-Mar-20,Packing Line 03,3rd,0
24-Mar-20,Packing Line 03,3rd,0
27-Mar-20,Packing Line 03,3rd,0.900204391
28-Mar-20,Packing Line 03,3rd,0.937007713
29-Mar-20,Packing Line 03,3rd,0.767371178
31-Mar-20,Packing Line 03,3rd,0.811371765
1-Apr-20,Packing Line 03,3rd,0.947216301
2-Apr-20,Packing Line 03,3rd,0.909027863
6-Apr-20,Packing Line 03,3rd,0.439110069
7-Apr-20,Packing Line 03,3rd,0.61669075
8-Apr-20,Packing Line 03,3rd,0.782722092
9-Apr-20,Packing Line 03,3rd,0.575754356
7-Jan-20,Packing Line 03,2nd,0.330893402
14-Jan-20,Packing Line 03,2nd,0.143476362
15-Jan-20,Packing Line 03,2nd,0.163864079
16-Jan-20,Packing Line 03,2nd,0.267152634
23-Jan-20,Packing Line 03,2nd,0.253795242
24-Jan-20,Packing Line 03,2nd,0.343151283
27-Jan-20,Packing Line 03,2nd,0.161308365
3-Feb-20,Packing Line 03,2nd,0.169587345
5-Feb-20,Packing Line 03,2nd,0.935189285
10-Mar-20,Packing Line 03,2nd,0
11-Mar-20,Packing Line 03,2nd,0
16-Mar-20,Packing Line 03,2nd,0
19-Mar-20,Packing Line 03,2nd,0
20-Mar-20,Packing Line 03,2nd,0
21-Mar-20,Packing Line 03,2nd,0
22-Mar-20,Packing Line 03,2nd,0
23-Mar-20,Packing Line 03,2nd,0
24-Mar-20,Packing Line 03,2nd,0
25-Mar-20,Packing Line 03,2nd,0
27-Mar-20,Packing Line 03,2nd,0.482903862
28-Mar-20,Packing Line 03,2nd,1
29-Mar-20,Packing Line 03,2nd,0.956488037
30-Mar-20,Packing Line 03,2nd,0.562419786
31-Mar-20,Packing Line 03,2nd,0.947931137
1-Apr-20,Packing Line 03,2nd,1
2-Apr-20,Packing Line 03,2nd,1
6-Apr-20,Packing Line 03,2nd,0.708904114
7-Apr-20,Packing Line 03,2nd,0.383859978
8-Apr-20,Packing Line 03,2nd,1
9-Apr-20,Packing Line 03,2nd,0.925911636
10-Apr-20,Packing Line 03,2nd,0.990059357
9-Jan-20,Packing Line 03,1st,0.379239006
15-Jan-20,Packing Line 03,1st,0.309785061
16-Jan-20,Packing Line 03,1st,0.370285435
17-Jan-20,Packing Line 03,1st,0.424681768
18-Jan-20,Packing Line 03,1st,1
22-Jan-20,Packing Line 03,1st,0.104257164
24-Jan-20,Packing Line 03,1st,0.18671957
27-Jan-20,Packing Line 03,1st,0.381376114
28-Jan-20,Packing Line 03,1st,0.136216583
30-Jan-20,Packing Line 03,1st,0.111059647
3-Feb-20,Packing Line 03,1st,0.505630302
6-Feb-20,Packing Line 03,1st,0.231249504
12-Feb-20,Packing Line 03,1st,0
